1000,0,0
0,1000,0
0,0,1000
1000,1000,0
1000,0,1000
0,1000,1000
500,0,0
0,500,0
0,0,500
500,500,0
500,0,500
0,500,500
750,750,750
500,500,500
250,250,250
1000,500,0
500,1000,0
0,500,1000
0,1000,500
500,0,1000
1000,0,500
1000,750,500
750,1000,500
500,1000,750
500,750,1000
750,500,1000
1000,500,750
1000,250,250
250,1000,250
250,250,1000
1000,1000,500
1000,500,1000
500,1000,1000
750,0,0
0,750,0
0,0,750
750,750,0
750,0,750
0,750,750
1000,750,0
750,1000,0
0,750,1000
0,1000,750
750,0,1000
1000,0,750
750,750,500
750,500,750
500,750,750
750,750,1000
1000,750,750
